,rank,songname,artist,urls,lyrics_raw
0,1,Rolling-in-the-Deep,Adele,http://genius.com/Adele-Rolling-in-the-Deep-lyrics,"[Verse 1] / There's a fire starting in my heart / Reaching a fever pitch, and it's bringing me out the dark / Finally, I can see you crystal clear / Go ahead and sell me out, and I'll lay your ship [shit] bare / See how I'll leave with every piece of you / Don't underestimate the things that I will do / There's a fire starting in my heart / Reaching a fever pitch, and it's bringing me out the dark / [Pre-Chorus] / The scars of your love remind me of us / They keep me thinking that we almost had it all / The scars of your love, they leave me breathless / I can't help feeling / [Chorus] / We could have had it all / (You're gonna wish you never had met me) / Rolling in the deep / (Tears are gonna fall, rolling in the deep) / You had my heart inside of your hand / (You're gonna wish you never had met me) / And you played it to the beat / (Tears are gonna fall, rolling in the deep) / [Verse 2] / Baby, I have no story to be told / But I've heard one on you / Now I'm gonna make your head burn / Think of me in the depths of your despair / Make a home down there / As mine sure won't be shared / [Pre-Chorus] / (You're gonna wish you never had met me) / The scars of your love remind me of us / (Tears are gonna fall, rolling in the deep) / They keep me thinking that we almost had it all / (You're gonna wish you never had met me) / The scars of your love, they leave me breathless / (Tears are gonna fall, rolling in the deep) / I can't help feeling / [Chorus] / We could have had it all / (You're gonna wish you never had met me) / Rolling in the deep / (Tears are gonna fall, rolling in the deep) / You had my heart inside of your hand / (You're gonna wish you never had met me) / And you played it to the beat / (Tears are gonna fall, rolling in the deep) / Could have had it all / Rolling in the deep / You had my heart inside of your hand / But you played it with a beating / [Bridge] / Throw your soul through every open door / Count your blessings to find what you look for / Turn my sorrow into treasured gold / You'll pay me back in kind and reap just what you sow / [Interlude] / (You're gonna wish you never had met me) / We could have had it all / (Tears are gonna fall, rolling in the deep) / We could have had it all / (You're gonna wish you never had met me) / It all, it all, it all / (Tears are gonna fall, rolling in the deep) / [Chorus] / We could have had it all / (You're gonna wish you never had met me) / Rolling in the deep / (Tears are gonna fall, rolling in the deep) / You had my heart inside of your hand / (You're gonna wish you never had met me) / And you played it to the beat / (Tears are gonna fall, rolling in the deep) / [Chorus] / We could have had it all / (You're gonna wish you never had met me) / Rolling in the deep / (Tears are gonna fall, rolling in the deep) / You had my heart inside of your hand / (You're gonna wish you never had met me) / But you played it / You played it / You played it / You played it to the beat"
1,2,Party-Rock-Anthem,LMFAO,http://genius.com/LMFAO-Party-Rock-Anthem-lyrics,"[Intro] / PARTY ROCK / YEAH / Wooo!!!! / LETS GO!! / [Hook: LMFAO (x2)] / Party rock / is in the house tonight / Everybody just have a good time / And we gonna make you lose your mind / Everybody just have a good time / We just wanna see you... / Shake that! / [Verse 1: LMFAO] / I / n the club: party rock / Looking for your girl? She on my jock / Non stop when we in the spot / Booty moving weight like she on the block / Where the drank? I gots to know / Tight jeans, tattoo, cause I'm rock and roll / Half-black, half-white: domino / Gainin' money. Oprah, dough / Yoooo!! / I’m running through these hoes like Drano / I got that devilish flow rock and roll no halo, we party rock! / Yeah, that’s the crew that I’m repping / On the rise to the top, no lead in our zeppelin, hey!!! / [Hook x2] / Every day I’m shufflin' / Shufflin', shufflin' / [Verse 2: LMFAO] / Step up fast and be the first girl to make me throw this cash / We get money don’t be mad, now stop - hatin' is bad / One more shot for us (Another round!) / Please fill up my cup (Don’t mess around!) / We just wanna see (You shake it now!) / Now you wanna be (You're naked now!) / [Bridge: Lauren Bennett] / Get up get down / put your hands up to the sound / [X3] / Put your hands up to the sound [X2] / Get up [X9] / Put your hands up to the sound / To the sound / Put your hands up !!!!! / [Hook] / Ooooh (x4) / Everyday I'm shu-shufflin'"
2,3,Firework,Katy-Perry,http://genius.com/Katy-Perry-Firework-lyrics,"[Verse 1] / Do you ever feel like a plastic bag / Drifting through the wind wanting to start again / Do you ever feel, feel so paper-thin / Like a house of cards one blow from caving in / Do you ever feel already buried deep / Six feet under screams, / but no one seems to hear a thing / Do you know that there's still a chance for you / Cause there's a spark in you / [Pre-Chorus] / You just gotta ignite the light / And let it shine / Just own the night / Like the Fourth of July / [Chorus] / Cause baby, you're a firework / Come on, show 'em what you're worth / Make 'em go, ""Aah, aah, aah"" / As you shoot across the sky-y-y / Baby, you're a firework / Come on, let your colors burst / Make 'em go, ""Aah, aah, aah"" / You're gonna leave them all in awe, awe, awe / [Verse 2] / You don't have to feel like a waste of space / You're original, cannot be replaced / If you only knew what the future holds / After a hurricane comes a rainbow / Maybe a reason why all the doors are closed / So you can open one that leads you to the perfect road / Like a lightning bolt, your heart will blow / And when it's time, you'll know / [Pre-Chorus] / You just gotta ignite the light / And let it shine / Just own the night / Like the Fourth of July / [Chorus] / Cause baby, you're a firework / Come on, show 'em what you're worth / Make 'em go, ""Aah, aah, aah"" / As you shoot across the sky-y-y / Baby, you're a firework / Come on, let your colors burst / Make 'em go, ""Aah, aah, aah"" / You're gonna leave them all in awe, awe, awe / [Bridge] / Boom, boom, boom / Even brighter than / the moon, moon, moon / It's always been inside of you, you, you / And now it's time to let it through / [Chorus] / Cause baby, you're a firework / Come on, show 'em what you're worth / Make 'em go, ""Aah, aah, aah"" / As you shoot across the sky-y-y / Baby, you're a firework / Come on, let your colors burst / Make 'em go, ""Aah, aah, aah"" / You're gonna leave them all in awe, awe, awe / [Outro] / Boom, boom, boom / Even brighter than the moon, moon, moon / Boom, boom, boom / Even brighter than the moon, moon, moon"
3,4,ET,Katy-Perry,http://genius.com/Katy-Perry-ET-lyrics,"[Intro: Kanye West] / I got a dirty mind / I got filthy ways / I'm tryna bathe my ape, (ape) / In your milky way (way) / I'm a legend / I'm irreverent / I be reverend / I'll be so faaaaa-ar up / We don't give a fuuuh-uh-uck / Welcome to the danger zone / Step into the fantasy / You are not invited to the other side of sanity / They're callin' me an alien a big headed astronaut / Maybe it's because your boy Yeezy get ass a lot / [Verse 1: Katy Perry] / You're so hypnotizing / Could you be the devil? / Could you be an angel? / Your touch, magnetizing / Feels like I am floating / Leaves my body glowing / They say be afraid / You're not like the others / Futuristic lover / Different DNA / They don't understand you / [Pre-Chorus: Katy Perry] / You're from a whole 'nother world / A different dimension / You open my eyes / And I'm ready to go / Lead me into the light / [Chorus: Katy Perry] / Kiss me, ki-ki-kiss me / Infect me with your loving / Fill me with your poison / Take me, ta-ta-take me / Wanna be your victim / Ready for abduction / Boy, you're an alien / Your touch so foreign / It's supernatural / Extraterrestrial / [Verse 2: Katy Perry] / You're so supersonic / Wanna feel your powers / Stun me with your lasers / Your kiss is cosmic / Every move is magic / [Pre-Chorus: Katy Perry] / You're from a whole 'nother world / A different dimension / You open my eyes / And I'm ready to go / Lead me into the light / [Bridge: Kanye West] / I know a bar out in Mars / Where they drivin' spaceships instead of cars / Cop a prada space suit about the stars / Getting stupid hah, straight up out the jars / Pockets on shrek, rockets on deck / Tell me what's next? Alien sex / Imma disrobe you / Then Imma probe you / See I've abducted you / So I'll tell you what to do / I tell you what to do (what to do, what to do) / [Chorus: Katy Perry] / Kiss me, ki-ki-kiss me / Infect me with your loving / Fill me with your poison / Take me, ta-ta-take me / Wanna be your victim / Ready for abduction / Boy, you're an alien / Your touch so foreign / It's supernatural / Extraterrestrial / [Bridge: Katy Perry] / This is transcendental / On another level / Boy, you're my lucky star / I wanna walk on your wavelength / And be there when you vibrate / For you I'll risk it all / All / [Chorus: Katy Perry] / Kiss me, ki-ki-kiss me / Infect me with your loving / Fill me with your poison / Take me, ta-ta-take me / Wanna be your victim / Ready for abduction / Boy, you're an alien / Your touch so foreign / It's supernatural / Extraterrestrial / [Outro: Katy Perry] / Extraterrestrial / Extraterrestrial / Boy, you're an alien / Your touch so foreign / It's supernatural / Extraterrestrial"
4,5,Give-Me-Everything,Pitbull,http://genius.com/Pitbull-Give-Me-Everything-lyrics,"[Pitbull - Intro] / Me not working hard? Yeah right / Picture that with a Kodak / And, better yet, go to Times Square / Take a picture of me with a Kodak / Took my life from negative to positive / And I just want y'all know that / And tonight, let's enjoy life / Pitbull, Nayer, Ne-Yo, tell us right / [Hook: Ne-Yo] / Tonight, I want all of you tonight / Give me everything tonight / For all we know we might not get tomorrow / Let's do it tonight / [Hook: Nayer] / (Don't care what they say / All the games they play / Nothing is enough / Till they handle love) / ) / [Hook: Ne-Yo] / Let's do it tonight / [Hook: Nayer] / (I want you tonight / I want you to stay / I want you tonight) / [Hook: Ne-Yo] / Grab somebody sexy, tell 'em hey / Give me everything tonight / Give me everything tonight / Give me everything tonight / Give me everything tonight / [Verse 1: Pitbull] / Take advantage of tonight / Cause  tomorrow I'm off to Dubai to perform for a princess / But tonight, I can make you my queen / And make love to you endless / This is insane: the way the name growin' / Money keep flowin' / hustlers move aside / So, I'm tiptoein', to keep flowin' / I got it locked up like Lindsay Lohan / Put it on my life, baby / I'll make you feel right, baby / Can't promise tomorrow, but I promise tonight / (dale) / [Pre-Hook: Pitbull] / Excuse me / And I might drink a little more than I should tonight / And I might take you home with me, if I could tonight / And, baby, I'ma make you feel so good, tonight / Cause we might not get tomorrow / [Hook: Ne-Yo] / Tonight, I want all of you tonight / Give me everything tonight / For all we know we might not get tomorrow / Let's do it tonight / [Hook: Nayer] / (Don't care what they say / All the games they play / Nothing is enough / Till they handle love) / ) / [Hook: Ne-Yo] / Let's do it tonight / [Hook: Nayer] / (I want you tonight / I want you to stay / I want you tonight) / Grab somebody sexy, tell 'em hey / Give me everything tonight / Give me everything tonight / Give me everything tonight / Give me everything tonight / [Verse 2: Pitbull] / Reach for the stars, and if you don't grab them / At least you'll fall on top of the world / Think about it, cause if you slip, I'm gon' fall on top your girl / What I'm involved with is deeper than the Masons, / baby, baby, and it ain't no secret / My granny's from Cuba, but I'm an American Idol / getting money like Seacrest / Put it on my life, baby,] / I make you feel right, baby / Can't promise tomorrow, but I promise tonight / (dale) / [Pre-Hook: Pitbull] / Excuse me / And I might drink a little more than I should tonight / And I might take you home with me, if I could tonight / And, baby, I'ma make you feel so good, tonight / Cause we might not get tomorrow / [Hook: Ne-Yo] / Tonight, I want all of you tonight / Give me everything tonight / For all we know we might not get tomorrow / Let's do it tonight / [Hook: Nayer] / (Don't care what they say / All the games they play / Nothing is enough / Till they handle love) / ) / [Hook: Ne-Yo] / Let's do it tonight / [Hook: Nayer] / (I want you tonight / I want you to stay / I want you tonight) / [Hook: Ne-Yo] / Grab somebody sexy, tell 'em hey / Give me everything tonight / Give me everything tonight / Give me everything tonight / Give me everything tonight / [Outro: Pitbull] / Excuse me / But I might drink a little bit more than I should tonight / And I might take you home with me if I could tonight / And I think you should let me cause I look good tonight / And we might not get tomorrow"
5,6,Grenade,Bruno-Mars,http://genius.com/Bruno-Mars-Grenade-lyrics,"[Verse 1] / Easy come, easy go / That's just how you live, oh / Take, take, take it all, but you never give / Shoulda known you was trouble from the first kiss / Had your eyes wide open / Why were they open? / ooh / [Pre-Chorus] / Gave you all I had and you tossed it in the trash / It tossed it in the trash, you did / To give me all your love is all I ever ask / Cause what you don't understand is... / [Chorus] / I'd catch a grenade for ya / Throw my hand on a blade for ya / I'd jump in front of a train for ya / You know I'd do anything for ya / Ooh, I would go through all this pain / Take a bullet straight through my brain / Yes, I would die for ya, baby / But you won't do the same / No no no no oh / [Verse 2] / Black, black, black and blue / Beat me 'till I'm numb / Tell the devil I said, ""hey"" when you get back to where your from / Mad woman, bad women / That's just what you are / Yeah, you'll smile in my face then rip the brakes out my car / [Pre-Chorus] / Gave you all I had and you tossed it in the trash / It tossed it in the trash, yes you did / To give me all your love is all I ever ask / Cause what you don't understand is... / [Chorus] / I'd catch a grenade for ya / Throw my hand on a blade for ya / I'd jump in front of a train for ya / You know I'd do anything for ya / Ooh, I would go through all this pain / Take a bullet straight through my brain / Yes, I would die for ya, baby / But you won't do the same / [Bridge] / If my body was on fire / Ooh, you'd watch me burn down in flames / You said you loved me, you're a liar / Cause you never, ever, ever did, baby / But darlin' I'd still... / [Chorus] / Catch a grenade for ya / Throw my hand on a blade for ya / I'd jump in front of a train for ya / You know I'd do anything for ya / Oh, I would go through all this pain / Take a bullet straight through my brain / Yes, I would die for ya, baby / But you won't do the same / [Outro] / No, you won't do the same / You wouldn't do the same / Ooh, you'd never do the same / No, no, no, no oh"
6,7,Fuck-You,Cee-Lo-Green,http://genius.com/Cee-Lo-Green-Fuck-You-lyrics,"[Hook] / I see you driving around town with the girl I love / And I'm like, ""Fuck you"" (Ooh, ooh, ooh) / I guess the change in my pocket wasn't enough / I'm like: ""fuck you,"" and fuck her, too / Said if I was richer / I'd still be with ya / Hah, now ain't that some shit? / And although there's pain in my chest / I still wish you the best / With a fuck you (oh, ooh, oooh) / [Verse 1] / Yeah I'm sorry, I can't afford a Ferrari / But that don't mean I can't get you there / I guess he's an Xbox and I'm more Atari / But the way you play your game ain't fair / [Bridge] / I pity the fool that falls in love with you / (Oh shit, she's a gold digger) / Well.. (just thought you should know nigga) / I've got some news for you / (""...Yeah, go run and tell your little boyfriend"") / [Hook] / I see you driving around town with the girl I love / And I'm like, ""Fuck you"" / (Ooh, ooh, ooh) / I guess the change in my pocket wasn't enough / I'm like: ""fuck you,"" and fuck her, too / Said if I was richer / I'd still be with ya / Hah, now ain't that some shit? / And although there's pain in my chest / I still wish you [the best] / With a fuck you (oh, ooh, oooh) / [Verse 2] / Now I know that I had to borrow / Beg and steal and lie and cheat / Trying to keep ya, trying to please ya / Cause being in love with your ass ain't cheap / [Bridge] / I pity the fool that falls in love with you / (Oh shit, she's a gold digger) / Well (just thought you should know nigga) / I've got some news for you / (""...Ooh, I really hate yo' ass right now"") / [Hook] / I see you driving around town with the girl I love / And I'm like, ""Fuck you"" (Ooh, ooh, ooh) / I guess the change in my pocket wasn't enough / I'm like: ""fuck you,"" and fuck her, too / Said if I was richer / I'd still be with ya / Hah, now ain't that some shit? / And although there's pain in my chest / I still wish you [the best] / With a fuck you (oh, ooh, oooh) / [Verse 3] / Now baby, baby, baby, why d'you wanna wanna hurt me so bad? / I tried to tell my momma but she told me / ""This is one for your dad"" / (Your dad, your dad, your dad) / Why? Uh! Why? Uh! / Why lady? Oh I love you / Oh, I still love you, ooh / [Hook] / I see you driving around town with the girl I love / And I'm like, ""Fuck you"" (Ooh, ooh, ooh) / I guess the change in my pocket wasn't enough / I'm like: ""fuck you,"" and fuck her, too / Said if I was richer / I'd still be with ya / Hah, now ain't that some shit? / And although there's pain in my chest / I still wish you [the best] / With a fuck you (oh, ooh, oooh)"
7,8,Super-Bass,Nicki-Minaj,http://genius.com/Nicki-Minaj-Super-Bass-lyrics,"[Verse 1 ] / This one is for the boys with the / booming system / Top down, AC with the cooler system / When he come up in the club, he be blazin' up / Got stacks on deck like he savin' up / And he ill, he real / , / he might gotta deal / He pop bottles / and / he got the right kind of build / He cold / , / he dope / , / he might sell coke / He always in the air, but he never fly coach / He a muthafuckin trip, trip, sailor of the ship, ship / When he make it drip, drip kiss him on the lip, lip / That's the kind of dude I was lookin' for / And yes you'll get slapped if you're lookin', ho / I said, excuse me you're a hell of a guy / I mean my, my, my, my you're like pelican fly / I mean, you're so shy and I'm loving your tie / You're like slicker than the guy with the thing on his eye, oh / Yes I did, yes I did / Somebody please tell em who the eff I is / I am Nicki Minaj, I mack them dudes up, back coupes up, and chuck the deuce up / [Hook: / Ester Dean / & Nicki Minaj] / Boy you got my heartbeat running away / Beating like a drum and it's coming your way / Can't you hear that boom, badoom, boom, boom, badoom, boom, bass / Got that super bass boom, badoom, boom, boom, badoom, boom, bass / Yeah that's that super bass / Boom,boom,boom,boom..... / Boom, badoom, boom, boom, badoom, boom, bass he got that super bass / Boom, badoom, boom, boom, badoom, boom, bass, he got that super bass / [Verse 2] / This one is for the boys in the polos / Entrepreneur niggas and the moguls / He could ball with the crew, he could solo / But I think I like him better when he dolo / And I think I like him better with the fitted cap on / He ain't even gotta try to put the mack on / He just gotta give me that look, when he give me that look / Then the panties comin' off, off, uh / Excuse me, you're a hell of a guy you know I really got a thing for American guys / I mean, sigh, sickenin' eyes / I can tell that you're in touch with your feminine side / Yes I did, yes I did, somebody please tell him who the eff I is / I am Nicki Minaj, I mack them dudes up, back coupes up, and chuck the deuce up / [Hook] / Boy you got my heartbeat running away / Beating like a drum and it's coming your way / Can't you hear that boom, badoom, boom, boom, badoom, boom, bass / Got that super bass boom, badoom, boom, boom, badoom, boom, bass / Yeah that's that super bass / Boom,boom,boom.... / Boom, badoom, boom, boom, badoom, boom, bass he got that super bass / Boom, badoom, boom, boom, badoom, boom, bass, he got that super bass / [Bridge] / See I need you in my life for me to stay / No, no, no, no, no I know you'll stay / No, no, no, no, no don't go away / Boy you got my heartbeat runnin' away / Don't you hear that heartbeat comin' your way / Oh it be like, boom, badoom, boom, boom, badoom, boom, bass / Can't you hear that boom, badoom, boom, boom, badoom, boom, bass / [Hook] / Boy you got my heartbeat running away / Beating like a drum and it's coming your way / Can't you hear that boom, badoom, boom, boom, badoom, boom, bass / Got that super bass boom, badoom, boom, boom, badoom, boom, bass / Yeah that's that super bass / Boom,boom,boom........ / Boom, badoom, boom, boom, badoom, boom, bass he got that super bass / Boom, badoom, boom, boom, badoom, boom, bass, he got that super bass"
8,9,Moves-like-Jagger,Maroon-5,http://genius.com/Maroon-5-Moves-like-Jagger-lyrics,"[Instrumental] / [Verse 1: Adam Levine] / Just shoot for the stars, if it feels right / Then aim for my heart, if you feel like / And / take me away / Make it okay / I swear I'll behave / You wanted control, so we waited / I put on a show, now we're / naked / You say I'm a kid / My ego is big / I don't give a shit / And it goes like this / [Chorus: Adam Levine] / Take me by the tongue and I'll know you / Kiss me till you're drunk and I'll show you / All the moves like Jagger / I've got the moves like Jagger / I've got the mooooooves like Jagger / I don't need try to control you / Look into my eyes and I'll own you / With them the moves like Jagger / I've got the moves like Jagger / I've got the moooooooves like Jagger / [Verse 2: Adam Levine] / Baby, it's hard, when you feel like / You're broken and scarred, nothing feels right / But when you're with me / I make you believe / That I've got the key / So get in the car, you can ride it / Wherever you want, get inside it / And you want to steer / But I'm shifting gears / I'll take it from here / And it goes like this / [Chorus: Adam Levine] / Take me by the tongue and I'll know you / Kiss me till you're drunk and I'll show you / All the moves like Jagger / I've got the moves like Jagger / I've got the mooooooves like Jagger / I don't need try to control you / Look into my eyes and I'll own you / With them the moves like Jagger / I've got the moves like Jagger / I've got the moooooooves like Jagger / [Bridge: Christina Aguilera & / Adam Levine / ] / You wanna know, how to make me smile? / Take control, own me just for the night / And if I share my secret / You're gonna have to keep it / Nobody else can see this / So watch and learn, I won't show you twice / Head to toe, ooh baby, / roll me right / And if I share my secret / You're gonna have to keep it / Nobody else can see this / And it goes like this / [Chorus: Adam Levine] / Take me by the tongue and I'll know you / Kiss me till you're drunk and I'll show you / All the moves like Jagger / I've got the moves like Jagger / I've got the mooooooves like Jagger / I don't need try to control you / Look into my eyes and I'll own you / With them the moves like Jagger / I've got the moves like Jagger / I've got the moooooooves like Jagger / [Outro] / With them the moves like Jagger / I've got the moves like Jagger / I've got the moves, like Jagger"
9,10,Just-Cant-Get-Enough,Black-Eyed-Peas,http://genius.com/Black-Eyed-Peas-Just-Cant-Get-Enough-lyrics,"[Hook: Fergie] / Boy, I think about it every night and day / I'm addicted, wanna jam inside your love / I wouldn't wanna have it any other way / I'm addicted, and I just can't get enough / [Post-Hook: will.i.am] / I just can't get enough, I just can't get enough / I just can't get enough, I just can't get enough / [Verse 1: will.i.am + / (Fergie) / ] / Honey got her sexy on steaming / She's give my hotness a new meaning / Perfection, mami you gleaming / Inception, you got a brother dreaming, dreaming / Damn, baby, I'm fiendin / I'm tryna holla at you, I'm screaming / Let me love you down this evening / (Lovie lovie, yeah, you know you are my demon) / Girl, we can form a team, and / I could be the King, you could be the Queen and / My mind's dirty and it don't need cleaning / (I love you long time so you know the meaning) / [Pre-Hook: will.i.am] / Oh baby, I can't come down, so please come help me out / You got me feeling high, and I can't step off the cloud / And I just can't get enough / [Hook: Fergie] / Boy, I think about it every night and day / I'm addicted, wanna jam inside your love / I wouldn't wanna have it any other way / I'm addicted, and I just can't get enough / [Post-Hook: will.i.am] / I just can't get enough, I just can't get enough / I just can't get enough, I just can't get enough / [Verse 2: Taboo] / Honey got me runnin' like I'm / Flo Jo / Signs her name on my heart with an ""XO"" / Love so sweet, got me vexed though / I wanna wish it right back like Presto, yes / Meantime, I wait for the next time / She come around for a toast to the best time / We LOL back and forth on the text line / She got me fishin' for her love, I confess I'm... / Something 'bout her smile and the convo / Got me high and I ain't comin down, yo / My heart's pumpin' out louder than electro / She got me feelin like / Mr. Roboto​ / [Pre-Hook: will.i.am] / Oh baby, I can't come down, so please come help me out / You got me feeling high, and I can't step off the cloud / And I just can't get enough / [Hook: Fergie] / Boy, I think about it every night and day / I'm addicted, wanna jam inside your love / I wouldn't wanna have it any other way / I'm addicted, and I just can't get enough / [Breakdown: apl.de.ap] / This, has been a switch-up / Switch-up, switch-up / I just can't - switch-up / [Verse 3: apl.de.ap] / Locked, sunk in your bedrock / Heart, pumpin' your love-shot / Knocked, out by your cold-shot / I'm, stuck in your headlock / (switchup) / Can't stop, won't quit / Makin' me fiend, give it to me / I want it all, you know what I mean / Your love is a dose of ecstasy / (switchup) / Addicted, I can't get away from you / Afflicted, I need it, I miss it / (switchup) / I want your lovin' right next to me / And I can't erase you out of my memory / [Outro: apl.de.ap] / I just can't - switch-up"
